Talkers,Noise,F1,F2,F3
AS3,NC,550.75,1673.06,2864.7170886075946
AS3,NC,419.6,2033.46,2913.5023039215685
AS3,NC,566.94,1609.04,2769.6556830601094
AS3,NC,428.59,1754.8,2742.6387755102037
AS3,NC,503.6,1496.69,2748.4290476190477
AS3,NC,461.38,1662.49,2723.552905027933
AS3,NC,476.26,1861.0,2810.0154716981133
AS3,NC,462.95,1435.3,2795.156898734177
AS3,NC,498.31,1615.47,2681.221772151899
AS3,NC,398.32,1871.71,2790.4898305084744
AS3,NC,586.48,1631.6,2772.456951871658
AS3,NC,420.75,1790.0,2834.4046296296297
AS3,NC,392.42,1980.46,2758.4624590163935
AS3,NC,493.71,1657.25,2760.4796089385472
AS3,NC,470.96,1495.28,2644.702530120482
AS3,NC,503.48,1551.73,2641.6021794871795
AS3,NC,506.34,1887.77,2908.997235023041
AS3,NC,508.55,1615.34,2860.2754377880187
AS3,NC,450.57,1777.45,2768.0887349397594
AS3,NC,600.41,1411.65,2540.310111111111
AS3,NC,421.84,1250.09,2678.6098130841124
AS3,NC,414.34,2139.28,2927.404193548387
AS3,NC,465.61,1676.52,2796.227777777778
AS3,NC,442.94,1721.78,2773.468611111111
AS3,NC,443.88,1268.36,2682.025384615384
AS3,NC,502.03,1797.77,2921.7537410071945
AS3,NC,501.75,1716.48,2677.7730666666666
AS3,NC,505.67,1427.41,2649.5570758122744
AS3,NC,453.71,1460.39,2755.396117647059
AS3,NC,511.81,1639.7,2814.26912371134
AS3,NC,444.87,1367.75,2643.950425531915
AS3,NC,565.29,1558.64,2705.113428571429
AS3,NC,438.76,1474.24,2721.786976744186
AS3,NC,488.59,1442.95,2530.7956521739125
AS3,NC,478.43,1521.03,2631.7401158301154
AS3,NC,625.71,2011.91,2980.0507547169805
AS3,NC,436.56,1488.77,2550.9658407079646
AS3,NC,477.7,1836.9,2862.4734090909087
AS3,NC,491.19,1846.42,2849.461818181818
AS3,NC,378.61,1651.72,2580.794044117647
AS3,NC,545.15,1511.22,2669.067086614174
AS3,NC,609.08,995.97,2225.63696969697
AS3,NC,485.8,1418.17,2359.822
AS3,NC,472.23,1367.37,2660.725260663507
AS3,NC,429.05,1810.42,2894.0353488372098
AS3,NC,431.28,1582.18,2636.3599999999997
AS3,NC,527.21,1533.29,2669.895217391305
AS3,NC,476.08,1654.28,2611.2245
AS3,NC,632.92,1472.13,2569.275964912281
AS3,NC,603.57,1584.86,2707.205731707317
AS3,NC,485.83,1648.91,2633.3851785714282
AS3,NC,556.1,1387.78,2662.6194690265484
AS3,NC,490.72,1502.39,2599.5178865979383
AS3,NC,563.93,1674.6,2749.826746031745
AS3,NC,551.72,1386.21,2638.8501809954746
AS3,NC,513.33,1465.22,2815.6670408163263
AS3,NC,470.33,1557.05,2638.8074522292995
AS3,NC,463.25,1642.32,2628.706896551724
AS3,NC,512.03,1491.32,2702.8528671328672
AS3,NC,458.47,1544.31,2713.118079096045
AS3,NC,448.09,1469.14,2794.733114754099
AS3,NC,571.38,1489.08,2708.418053691275
AS3,NC,451.02,1475.9,2670.20427184466
AS3,NC,527.13,1515.3,2894.1031451612903
AS3,NC,454.94,1944.66,2985.4433884297523
AS3,NC,693.29,1663.9,2953.6252941176467
AS4,NC,532.36,1643.08,2685.721130952381
AS4,NC,462.12,1620.71,2775.36550295858
AS4,NC,483.43,1403.38,2539.255511811023
AS4,NC,531.51,1483.43,2361.260045454545
AS4,NC,477.3,1703.68,2545.5116597510378
AS4,NC,507.23,1528.17,2363.1668949771692
AS4,NC,500.71,1503.15,2448.068230088495
AS4,NC,523.39,1607.14,2690.8516516516515
AS4,NC,511.99,1431.7,2491.862676056338
AS4,NC,470.37,1539.38,2535.6988333333334
AS4,NC,479.0,1486.69,2524.5789637305697
AS4,NC,465.06,1513.91,2523.7618897637794
AS4,NC,470.66,1431.21,2671.2696352583584
AS4,NC,466.68,1340.47,2389.81109929078
AS4,NC,466.04,1667.51,2657.835798045603
AS4,NC,482.44,1535.14,2567.76131097561
AS4,NC,501.19,1450.53,2443.224827586207
AS4,NC,488.99,1235.6,2552.94897260274
AS4,NC,528.77,1583.53,2604.1868154761905
AS4,NC,482.3,1526.86,2618.5834976525816
AS4,NC,513.83,1721.85,2620.5245118733505
AS4,NC,459.82,1466.82,2741.237236842105
AS4,NC,462.04,1640.1,2623.5294328358214
AS4,NC,479.93,1607.58,2615.148275058275
AS4,NC,462.33,1070.74,2569.9173469387756
AS4,NC,488.67,1498.93,2454.360533333333
AS4,NC,503.86,1570.38,2548.1094470046082
AS4,NC,546.01,1604.69,2583.3154385964913
AS4,NC,492.8,1824.98,2837.860253164557
AS4,NC,493.51,1380.24,2456.267097902098
AS4,NC,500.56,1472.9,2556.937429718875
AS4,NC,498.51,1834.5,2725.3558670520233
AS4,NC,501.44,1573.41,2432.041063829787
AS4,NC,501.66,1717.49,2604.8534615384615
AS4,NC,518.95,1466.36,2704.104545454545
AS4,NC,468.41,1558.98,2579.4312371134024
AS4,NC,438.12,1836.88,2872.9736125654454
AS4,NC,529.17,1618.89,2612.736390532544
AS4,NC,509.64,1445.02,2454.677550200803
AS4,NC,503.27,1502.93,2623.252325581396
AS4,NC,505.08,1437.63,2533.408253968254
AS4,NC,435.03,1487.3,2690.226797385621
AS4,NC,528.74,1402.58,2477.1096296296296
AS4,NC,502.07,1542.2,2585.527918215613
AS4,NC,512.64,1286.92,2429.403146551724
AS4,NC,542.7,1566.82,2715.8054423592494
AS4,NC,519.08,1530.72,2609.5371900826444
AS4,NC,389.44,1574.68,2678.985625
AS4,NC,448.85,1767.17,2732.2998033707863
AS4,NC,425.94,1561.66,2694.161085271318
AS4,NC,551.23,1402.67,2770.0829
AS4,NC,503.77,1669.12,2649.41507788162
AS4,NC,464.99,1484.64,2615.9906875
AS4,NC,601.67,1280.73,2421.50975308642
AS4,NC,452.38,1519.41,2604.68027027027
AS4,NC,430.17,1591.55,2602.212411347518
AS4,NC,465.0,1679.74,2779.2197209302326
AS4,NC,498.41,1400.18,2627.507931937173
AS4,NC,489.04,1701.67,2652.1920748299317
AS4,NC,464.03,2034.06,2940.972747252747
AS4,NC,533.15,1737.22,2603.882068965517
AS4,NC,535.85,1670.4,2580.4715853658536
AS4,NC,435.14,1512.79,2706.6807203389826
AS4,NC,489.57,1498.17,2717.8716216216217
AS4,NC,465.38,1655.08,2693.765646766169
AS4,NC,384.72,1492.66,2708.0815000000002
AS4,NC,447.15,1680.97,2757.4189772727273
AS4,NC,486.68,1616.27,2524.593325892857
AS4,NC,483.19,1728.99,2824.7971009771986
AS4,NC,549.59,1700.9,2710.410479452055
AS4,NC,475.23,1599.76,2698.195773195876
AS4,NC,440.56,1405.85,2594.9527795527156
AS4,NC,455.19,1581.51,2824.9538709677418
AS4,NC,423.27,1662.06,2722.485031847134
AS4,NC,498.0,1470.86,2537.45459770115
AS4,NC,523.3,1660.12,2696.718946135831
AS4,NC,468.37,1453.15,2529.2947517730495
