Talkers,Noise,F1,F2,F3
C2,SSN,530.44,1218.0,2337.031477272727
C2,SSN,414.81,1397.28,2345.7784155844156
C2,SSN,555.45,1807.86,2646.105
C2,SSN,398.5,1412.42,2354.856358381503
C2,SSN,451.04,1232.03,2308.2197142857144
C2,SSN,400.46,1358.84,2340.0128980891723
C2,SSN,443.3,1461.47,2428.354278846154
C2,SSN,413.32,1347.84,2270.3858854166665
C2,SSN,481.02,1495.72,2390.065762711864
C2,SSN,431.94,1362.57,2250.383367346939
C2,SSN,489.17,1420.07,2380.5853636363636
C2,SSN,418.75,1382.07,2303.7128313253015
C2,SSN,478.17,1484.28,2395.35975
C2,SSN,457.37,1428.13,2283.506875
C2,SSN,416.55,1384.92,2348.069407407407
C2,SSN,426.17,1429.85,2321.030606060606
C2,SSN,354.91,1526.05,2444.421875
C2,SSN,495.56,1394.26,2379.170090909091
C2,SSN,501.27,1298.38,2405.4113583138173
C2,SSN,622.88,1352.21,2405.2549999999997
C2,SSN,523.06,1278.33,2287.7393023255813
C2,SSN,469.42,1358.74,2401.5391549295773
C2,SSN,376.58,1637.93,2427.5008823529406
C2,SSN,483.23,1279.97,2375.061542056075
C2,SSN,479.85,1437.99,2453.3188421052637
C2,SSN,516.41,1448.91,2355.6184210526317
C2,SSN,495.96,1421.11,2440.0130555555556
C3,SSN,597.3,1638.35,2623.9743617021277
C3,SSN,500.92,1415.19,2645.8245864661653
C3,SSN,589.99,1601.92,2695.7996721311483
C3,SSN,579.06,1565.27,2620.217930434783
C3,SSN,573.1,1596.45,2630.752868421053
C3,SSN,528.57,1511.05,2616.741434782609
C3,SSN,533.42,1517.4,2466.849756097561
C3,SSN,526.56,1432.26,2297.7582258064517
C3,SSN,578.29,1660.44,2641.0946099290777
C3,SSN,539.65,1581.11,2555.20094488189
C3,SSN,698.89,1373.61,2398.583548387097
C3,SSN,536.57,1267.3,2416.472451923077
C3,SSN,567.69,1523.67,2592.5589655172416
C3,SSN,633.91,1588.72,2634.6859205776173
C3,SSN,553.82,1504.72,2679.487295081967
C3,SSN,579.61,1591.64,2693.151302931596
C3,SSN,672.82,1646.39,2694.7708943089433
C3,SSN,594.42,1470.17,2609.8837358490564
C3,SSN,589.97,1407.26,2356.377212121212
C3,SSN,548.74,1615.57,2721.169880952381
C3,SSN,513.33,1568.11,2670.860991735537
C3,SSN,540.97,1591.52,2522.476372315036
C3,SSN,561.5,1437.53,2524.286549295775
C3,SSN,893.01,1700.91,2679.253617021277
C3,SSN,525.15,1483.96,2512.0843959731546
C3,SSN,421.58,1175.86,2485.8767857142857
C3,SSN,595.06,1408.9,2436.5599999999995
C3,SSN,593.02,1748.92,2431.0283018867926
C3,SSN,577.22,1711.03,2574.875581395349
C3,SSN,594.58,1530.4,2551.756942675159
C3,SSN,594.6,1536.55,2504.9603645833336
C3,SSN,591.3,1614.57,2456.145415162455
C3,SSN,616.04,1368.43,2528.1316049382717
C3,SSN,545.6,1575.86,2606.6519426751593
C3,SSN,605.56,1623.12,2557.384645390071
C3,SSN,494.11,1341.26,2459.2893103448278
C3,SSN,555.73,1375.77,2547.7810389610386
C3,SSN,471.4,1360.2,2607.8788297872343
C3,SSN,487.6,1554.06,2354.386958174905
C3,SSN,563.06,1455.19,2495.656112359551
C3,SSN,587.98,1280.36,2342.8953125000003
C3,SSN,575.03,1628.36,2546.945791044776
C3,SSN,532.05,1636.8,2601.5492890995256
C3,SSN,582.01,1577.54,2660.5375778546713
C3,SSN,513.87,1556.96,2567.8761507936506
C3,SSN,637.48,1404.96,2436.003184713376
C3,SSN,549.18,1548.68,2615.346626506024
C3,SSN,564.66,1441.96,2549.436509186352
C3,SSN,571.29,1191.77,2535.3158441558444
C3,SSN,624.84,1534.17,2577.163228699551
C3,SSN,581.03,1479.52,2452.4134708737865
C3,SSN,535.56,1460.8,2622.825945945946
C3,SSN,512.53,1520.41,2611.003387096774
C3,SSN,622.79,1396.76,2507.387796052632
C3,SSN,517.03,1597.45,2591.9640789473688
C3,SSN,581.62,1606.71,2645.9533101045295
C3,SSN,586.84,1662.53,2452.0193820224717
C3,SSN,554.3,1604.0,2375.9584313725495
